GTI2017,citax2017,GTI2018,citax2018
74293294,24563592,37460599,12385598
1817006,280727,8835940,1379050
0,0,0,0
8759427,2706663,3373273,1042341
4633454,1431737,2090455,645951
11697306,3867480,15189144,5021987
42280,13064,113089,34944
0,0,0,0
0,0,9295249,2852018
0,0,0,0
0,0,0,0
0,0,0,0
162793735,56339656,200004290,69217485
0,0,0,0
11046452,3652288,3690969,1140509
608420,188002,464234,143448
0,0,0,0
5517051,1704769,3024829,871416
0,0,0,0
