GST_ID_NO,Weight,Weighted GST_Cereal,Weighted Total Consumption,Weighted GST
443881103,2201,3574999,1033017493,85948382
443881201,1415,3389372,822670985,66954576
443881202,1415,2176313,695734554,50271106
443881203,1415,1454872,540467289,45198491
443881204,1415,2048412,855408881,78290438
443881301,135,294057,41080557,2849239
443891101,226,280917,179158872,16128499
443891102,226,229580,93554050,9410765
443891201,1731,2500828,930343446,81091685
443891202,1731,2811292,518266173,44671798
443891203,1731,1867676,724692562,62235396
443891204,1731,598927,250398672,22469022
443891301,226,211724,37331502,2775357
443891302,226,80991,24461805,2690501
444001101,115,87523,32947085,2471939
444001102,115,92385,67009753,4711234
444001201,79,83851,36967794,2067042
444001202,79,20879,18779446,1243698
444001203,79,133829,41187370,2723033
444001204,79,125499,38522010,2633375
444001301,140,96671,39994819,1825543
444001302,140,76861,40888419,2287915
444011201,108,261767,65214776,6256262
444011202,108,220885,62605712,4547094
444011203,108,309361,71884296,5011504
444011204,108,150867,55873502,3873986
444011205,108,133934,41222524,3347223
444011206,108,228207,65967931,4871967
444011301,148,132142,38808386,3025746
444011302,148,132142,43983408,3395700
444021101,104,265333,106604989,11267820
444021102,104,272642,130704817,14122096
444021201,37,19535,13740462,1774619
444021202,37,69798,22901717,2314990
444021203,37,55649,16998958,1373026
444021204,37,60242,15501773,1360523
444021301,144,37359,21702104,1522868
444021302,144,221517,47031115,3800307
444031101,60,205396,75307728,7287567
444031102,60,132785,36710994,3510054
444031201,68,80397,21964158,1819153
444031202,68,97942,26506374,2271035
444031203,68,131104,32312653,2683519
444031204,68,114330,37393003,3049513
444031301,220,211160,58081300,4394661
444031302,220,465300,96458959,7735587
444041101,138,217518,96400941,11971448
444041102,138,229170,109346927,11381462
444041201,109,142598,45565010,4323716
444041202,109,110309,43081002,4279048
444041203,109,116180,54612398,5241606
444041204,109,139354,44371757,3978591
444041301,119,124119,31573631,2575201
444041302,119,110701,32518893,2699655
444051101,120,206704,91488435,7477723
444051102,120,212309,92288322,7132916
444051201,104,154240,64684655,5196338
444051202,104,193461,71173243,6682683
444051203,104,242377,43200840,3237005
444051204,104,220343,74969991,5839372
444051301,104,147483,31382585,2361052
444051302,104,117516,26347343,2026771
444061101,239,134821,115903959,11154984
444061102,239,343795,140043340,12255205
444061201,36,68835,15383340,1296958
444061202,36,83151,18463190,1535320
444061203,36,92187,17702603,1429078
444061204,36,36956,10804203,1012138
444061301,52,76164,16682213,1301305
444061302,52,49119,15766048,1132473
444071101,42,62601,26055749,2752605
444071102,42,30973,20296407,1803473
444071103,42,19656,6434276,592644
444071201,165,296535,94274966,8893852
444071202,165,148268,57851034,6201125
444071203,165,175820,64084908,6736215
444071204,165,126086,39830868,3224422
444071301,6,8089,1947951,184235
444081201,92,99538,32061559,2608656
444081202,92,88103,33522221,2363739
444081203,92,115652,64717163,5092236
444081204,92,64583,23608442,1877839
